legId,searchDate,flightDate,startingAirport,destinationAirport,travelDuration,isBasicEconomy,isRefundable,isNonStop,totalFare,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
137d52add2a77efe8c99281f06ad4d3a,2022-04-16,2022-04-18,ATL,PHL,PT3H17M,False,False,False,350.1,677.0,1650313080||1650319200,2022-04-18T16:18:00.000-04:00||2022-04-18T18:00:00.000-04:00,1650317160||1650324900,2022-04-18T17:26:00.000-04:00||2022-04-18T19:35:00.000-04:00,CLT||PHL,ATL||CLT,American Airlines||American Airlines,AA||AA,Airbus A319||Airbus A320,4080||5700,228||449,coach||coach
1c9705ba3d1f0f5763f50aff2bb215d9,2022-04-16,2022-04-18,ATL,PHL,PT1H56M,False,False,True,368.6,667.0,1650336000,2022-04-18T22:40:00.000-04:00,1650342960,2022-04-19T00:36:00.000-04:00,PHL,ATL,Delta,DL,Boeing 737-900,6960,667,coach
a4159e06819fa87aca5463a721703ed7,2022-04-16,2022-04-18,ATL,PHL,PT2H1M,False,False,True,403.99,667.0,1650314040,2022-04-18T16:34:00.000-04:00,1650321300,2022-04-18T18:35:00.000-04:00,PHL,ATL,Frontier Airlines,F9,,7260,667,coach
c7d8233d3ebda4128f9955dd2da4d9d9,2022-04-16,2022-04-18,ATL,PHL,PT5H22M,False,False,False,428.6,1272.0,1650276000||1650288060,2022-04-18T06:00:00.000-04:00||2022-04-18T08:21:00.000-05:00,1650283800||1650295320,2022-04-18T07:10:00.000-05:00||2022-04-18T11:22:00.000-04:00,ORD||PHL,ATL||ORD,United||United,UA||UA,Embraer 175 (Enhanced Winglets)||Airbus A320,7800||7260,600||672,first||coach
3aa5a6f9bb23010142d0a6821e9c62da,2022-04-16,2022-04-18,ATL,PHL,PT1H57M,False,False,True,458.6,667.0,1650300300,2022-04-18T12:45:00.000-04:00,1650307320,2022-04-18T14:42:00.000-04:00,PHL,ATL,Delta,DL,Boeing 737-800,7020,667,coach
3e9511a7dd32b0dd27010b62fa55e389,2022-04-16,2022-04-18,ATL,PHL,PT2H3M,False,False,True,458.6,667.0,1650291000,2022-04-18T10:10:00.000-04:00,1650298380,2022-04-18T12:13:00.000-04:00,PHL,ATL,American Airlines,AA,Embraer 175,7380,667,coach
7108efa18570fe1f2762943ae02767b1,2022-04-16,2022-04-18,ATL,PHL,PT2H5M,False,False,True,458.6,667.0,1650280680,2022-04-18T07:18:00.000-04:00,1650288180,2022-04-18T09:23:00.000-04:00,PHL,ATL,American Airlines,AA,Airbus A320,7500,667,coach
57bb0883bde795037ecbded4eb4b2a4d,2022-04-16,2022-04-18,ATL,PHL,PT1H58M,False,False,True,468.61,667.0,1650280800,2022-04-18T07:20:00.000-04:00,1650287880,2022-04-18T09:18:00.000-04:00,PHL,ATL,Delta,DL,Boeing 737-900,7080,667,coach
3a7bb75200d4aa3d1a1831b541e6c8d6,2022-04-16,2022-04-18,ATL,PHL,PT2H,False,False,True,468.61,667.0,1650319620,2022-04-18T18:07:00.000-04:00,1650326820,2022-04-18T20:07:00.000-04:00,PHL,ATL,Delta,DL,Boeing 737-900,7200,667,coach
381157af3f2381fa97d081ac40ba7247,2022-04-16,2022-04-18,ATL,PHL,PT3H51M,False,False,False,496.6,859.0,1650310020||1650321000,2022-04-18T15:27:00.000-04:00||2022-04-18T18:30:00.000-04:00,1650318900||1650323880,2022-04-18T17:55:00.000-04:00||2022-04-18T19:18:00.000-04:00,EWR||PHL,ATL||EWR,United||United,UA||UA,Airbus A319||,8880||2880,762||97,coach||coach
